ADHD;ADHD
Acne;Acne
Alcohol Addiction;Dipendenza da alcol
Allergies;Allergie
Alzheimer;Alzheimer
Amoebiasis;Amebiasi
Anaemia;Anemia
Anaesthesia - Local;Anestesia - Locale
Anaesthesia General;Anestesia generale
Angina;Angina
Anxiety;Ansia
Appetite;Appetito
Arrhythmiasis;Aritmiasi
Arthritis;Artrite
Asthma/COPD;Asma 
Asthma/COPD;BPCO
Auto Immune Disease;Malattia autoimmune
Ayurvedic Medicine;Medicina Ayurvedica
Bacterial Infections;Infezioni batteriche
Bladder And Prostate Disorders;vescica
Bladder And Prostate Disorders;prostata
Bleeding Disorders;emorroidi
Blood Clot;Coagulo di sangue
Bone Metabolism;Metabolismo osseo
Burns;Ustioni
CNS stimulants;Stimolanti del SNC
Cancer/Oncology;Cancro 
Cancer/Oncology;Ontologia
Cholelithiasis/Gall Stones;Colelitiasi 
Cholelithiasis/Gall Stones;calcoli biliari
Cleanser;Detersivo
Constipation;Stipsi
Contraception;Contraccezione
Cough And Cold;Tosse 
Cough And Cold;raffreddore
Crack;Crepa
Dandruff;Forfora
Denture Adhesive;Adesivo per protesi
Depression;Depressione
Diabetes;Diabete
Diagnostic;Diagnostico
Diarrhoea;Diarrea
Dietary Management;Gestione dietetica
Digestion;Digestione
Dry Eye;Occhio secco
Dry Skin;Pelle secca
Personal Care;Cura personale
Ear Conditions;Condizioni dell'orecchio
Epilepsy/Convulsion;Epilessia
Epilepsy/Convulsion;convulsioni
Eye Infections;Infezioni agli occhi
Eye conditions;Condizioni degli occhi
Glaucoma;Glaucoma
Infection;Infezione
Fever;Febbre
Fungal;Fungine
Fungal Infections;Infezioni fungine
Gastro Intestinal Motility Disorders;emorragia gastrointestinale
General;Generale
Gout;Gotta
Haematopoiesis;Emopoiesi
Haemorrhoid;Emorroidi
Hair Color;Colore dei capelli
Hair Loss;La perdita di capelli
Head Lice;Pidocchi
Heart Failure;Insufficienza cardiaca
Hepatitis B Infection;Infezione da epatite B.
High Cholesterol;Colesterolo alto
Hirsutism;Irsutismo
Hormonal Therapy;Terapia ormonale
Hyperpigmentation;Iperpigmentazione
Hypertension;Ipertensione
Hyperthyroidism;Ipertiroidismo
Hypnosis;Ipnosi
Hypotension;Ipotensione
Nasal Congestion;Congestione nasale
Hypothyroidism;Ipotiroidismo
Idiopathic Pulmonary Fibrosis;Fibrosi polmonare idiopatica
Immune Suppression;Soppressione immunitaria
Immunoglobulins;Immunoglobuline
Impotence/Erectile Dysfunction (Ed);Impotenza
Impotence/Erectile Dysfunction (Ed);Disfunzione erettile
Kidney Disease/Stones;Malattia renale
Kidney Disease/Stones;calcoli
Leprosy;Lebbra
Liver Diseases;Malattie del fegato
Lubrication;Lubrificazione
Malarial;Malarico
Migraine;Emicrania
Muscle Cramps/Spasticity;Crampi muscolari
Muscle Cramps/Spasticity;spasticità
Muscle Spasm;Spasmo muscolare
Urinary Retention;Ritenzione urinaria
Neuropathic Pain;Dolore neuropatico
Mydriasis;Midriasi
Mom & Baby;Mamma e bambino
Nootropics And Neurotrophics;Nootropici 
Nootropics And Neurotrophics;neurotrofici
Obese;Obeso
Obesity;Obesità
Oral Care;Igiene orale
Osteoporosis;Osteoporosi
Pain relief;Sollievo dal dolore
Parasitic Worms;Vermi parassiti
Parkinsonism;Parkinsonismo
Patanjali Ayurvedic;Patanjali Ayurvedic
Peripheral Hypertension;Ipertensione periferica
Poisoning/Overdose;Avvelenamento
Poisoning/Overdose;sovradosaggio
Pregnancy Testing Kit;Kit per test di gravidanza
Premature Ejaculation;Eiaculazione precoce
Psoriasis/Seborrhea/Ichthyosis;Psoriasi
Psoriasis/Seborrhea/Ichthyosis;Seborrea
Psoriasis/Seborrhea/Ichthyosis;Ittiosi
Psychosis;Psicosi
Rabies;Rabbia
Sanitizer;Disinfettante
Offers;Offerte
Scabies;Scabbia
Scar;Cicatrice
Schizophrenia;Schizofrenia
Skin Infections;Infezioni della pelle
Smoking cessation;Smettere di fumare
Stretch Marks;Smagliature
Sun Protectors;Protezioni solari
Sunscreen Preparations;Preparazioni per la protezione solare
Supplements;Integratori
Surgicals;Chirurgici
Tetanus;Tetano
Thrombotic Disorder;Disturbo trombotico
Ulcer/Reflux/Flatulence;Ulcera
Ulcer/Reflux/Flatulence;flatulenza
Ulcer/Reflux/Flatulence;reflusso
Ulcerative Colitis/Bowel Inflammatory Disease;Colite ulcerosa 
Ulcerative Colitis/Bowel Inflammatory Disease;malattia infiammatoria intestinale
Uterus Conditions;Condizioni dell'utero
Vaccines;Vaccini
Vaginal Conditions;Condizioni vaginali
Varicose Veins;Vene varicose
Vertigo;Vertigine
Viral infections;Infezione virale
Vomitting/Emesis;Vomito
Vomitting/Emesis;Emesi
Warts/Calluses/Other Skin Lesion;Verruche
Warts/Calluses/Other Skin Lesion;calli
Warts/Calluses/Other Skin Lesion;altre lesioni cutanee
Weight Loss;Perdita di peso
Wound Care;Cura delle ferite
Wrinkle/Anti Ageing;Rughe
Wrinkle/Anti Ageing;Anti invecchiamento
